FileName	cy3_food	cy3_virus	cy3_time	Cy3	cy5_food	cy5_virus	cy5_time	Cy5
US84700254_256408310011_S01_GE2_105_Jan09_1_1.txt.gz	low	control	0.5	LFC 0.5	low	virus	0.5	LFV 0.5
US84700254_256408310011_S01_GE2_105_Jan09_1_2.txt.gz	high	virus	0.5	HFV0.5	high	control	0.5	HFC 0.5
US84700254_256408310011_S01_GE2_105_Jan09_1_3.txt.gz	high	virus	0.5	HFV0.5	low	virus	0.5	LFV 0.5
US84700254_256408310011_S01_GE2_105_Jan09_1_4.txt.gz	low	virus	7d	LFV 7D	high	virus	7d	HFV 7D
US84700254_256408310011_S01_GE2_105_Jan09_2_1.txt.gz	high	control	7d	HFC 7D	high	virus	7d	HFV 7D
US84700254_256408310011_S01_GE2_105_Jan09_2_2.txt.gz	high	control	7d	HFC 7D	low	control	7d	LFC 7D
US84700254_256408310011_S01_GE2_105_Jan09_2_3.txt.gz	high	virus	6d	HFV 6D	low	virus	6d	LFV 6D
US84700254_256408310011_S01_GE2_105_Jan09_2_4.txt.gz	low	virus	6d	LFV 6D	low	control	6d	LFC 6D
US84700254_256408310012_S01_GE2_1100_Jul11_1_1.txt.gz	high	control	6d	HFC 6D	high	virus	6d	HFV 6D
US84700254_256408310012_S01_GE2_1100_Jul11_1_2.txt.gz	low	control	6d	LFC 6D	high	control	6d	HFC 6D
US84700254_256408310012_S01_GE2_1100_Jul11_1_3.txt.gz	high	control	1	HFC 1	low	control	1	LFC 1
US84700254_256408310012_S01_GE2_1100_Jul11_1_4.txt.gz	low	control	1	LFC 1	low	virus	1	LFV 1
US84700254_256408310012_S01_GE2_1100_Jul11_2_1.txt.gz	low	virus	16	LFV 1	high	virus	1	HFV 1
US84700254_256408310012_S01_GE2_1100_Jul11_2_2.txt.gz	high	control	16	HFC 16	low	control	16	LFC 16
US84700254_256408310012_S01_GE2_1100_Jul11_2_3.txt.gz	low	virus	16	LFV 16	low	control	16	LFC 16
US84700254_256408310012_S01_GE2_1100_Jul11_2_4.txt.gz	low	virus	16	LFV 16	high	virus	16	HFV 16
US84700254_256408310013_S01_GE2_1100_Jul11_1_1.txt.gz	low	virus	2	LFV 2	high	virus	2	HFV 2
US84700254_256408310013_S01_GE2_1100_Jul11_1_2.txt.gz	high	control	1	HFC 1	high	control	0.5	HFC 0.5
US84700254_256408310013_S01_GE2_1100_Jul11_1_3.txt.gz	high	virus	1	HFV 1	high	virus	2	HFV 2
US84700254_256408310013_S01_GE2_1100_Jul11_1_4.txt.gz	high	control	6d	HFC 6D	high	control	7d	HFC 7D
US84700254_256408310013_S01_GE2_1100_Jul11_2_1.txt.gz	low	control	1	LFC 1	low	control	2	LFC 2
US84700254_256408310013_S01_GE2_1100_Jul11_2_2.txt.gz	low	control	16	LFC 16	low	control	1d	LFC 1D
US84700254_256408310013_S01_GE2_1100_Jul11_2_3.txt.gz	low	control	1d	LFC 1D	low	control	2d	LFC 2D
US84700254_256408310013_S01_GE2_1100_Jul11_2_4.txt.gz	low	virus	6d	LFV 6D	low	virus	7d	LFV 7D
US84700254_256408310014_S01_GE2_1100_Jul11_1_1.txt.gz	high	virus	6d	HFV 6D	high	virus	7d	HFV 7D
US84700254_256408310014_S01_GE2_1100_Jul11_1_2.txt.gz	high	control	2d	HFC 2D	low	control	2d	LFC 2D
US84700254_256408310014_S01_GE2_1100_Jul11_1_3.txt.gz	low	virus	1d	LFV 1D	low	control	1d	LFC 1D
US84700254_256408310014_S01_GE2_1100_Jul11_1_4.txt.gz	low	virus	6d	LFV 6D	low	control	6d	LFC 6D
US84700254_256408310014_S01_GE2_1100_Jul11_2_1.txt.gz	high	virus	0.5	HFV 0.5	high	virus	7d	HFV 7D
US84700254_256408310014_S01_GE2_1100_Jul11_2_2.txt.gz	low	control	1	LFC 1	low	control	0.5	LFC 0.5
US84700254_256408310014_S01_GE2_1100_Jul11_2_3.txt.gz	low	virus	0.5	LFV 0.5	low	virus	1	LFV 1
